lat,lons,scores
38.621600710263564,-90.20888647793804,8
38.61928998551914,-90.20907863637999,8
38.64403059058468,-90.19494324512709,8
38.62016405160762,-90.19723197915978,8
38.6446953646751,-90.18931131795107,9
38.62482883990995,-90.20292823270778,10
38.63075474517677,-90.1878213239529,9
38.62523941872496,-90.18013390528417,10
38.614055151768326,-90.21124359194178,4
38.6113380337518,-90.18636501469588,9
38.61206059809584,-90.1838650656828,5
38.61872182111546,-90.20756801899313,1
38.60864761374405,-90.18955686861496,3
38.608556370985845,-90.20154485484316,2
38.615309240418476,-90.20958808494704,6
38.6211204348721,-90.19251033857127,10
38.646490725614775,-90.18500900843907,7
38.63282896332823,-90.2102484519802,2
38.625658087801554,-90.21344431581416,4
38.60807481253159,-90.18577895469875,3
38.645675841967446,-90.18799894664782,9
38.63722349746042,-90.18402049609145,5
38.630438922558746,-90.21312617802579,2
38.60756203123665,-90.17970807020203,8
38.63388852532939,-90.19281422636428,4
38.63870953157434,-90.19575183512622,10
38.63946672217541,-90.1949579734663,4
38.63860710836826,-90.21434839000777,7
38.63884161689943,-90.19086078832659,3
38.6228954215465,-90.18295762371757,2
38.6079018601601,-90.18730630848013,1
38.607893748358734,-90.20166225016477,5
38.61025872672559,-90.19814273293397,2
38.62477983151453,-90.21046059020179,2
38.619784760243746,-90.21647821860167,5
38.63690709270713,-90.21655844807565,7
38.61307191532999,-90.19420509249979,2
38.614833996306636,-90.21405126835441,6
38.6392422142262,-90.21591466443996,5
38.609429916553374,-90.21534881439791,10
38.60728402982495,-90.18749789341253,7
38.608598427736375,-90.20959800232109,2
38.62318633770963,-90.20790388104912,3
38.61336209475052,-90.19508343770389,1
38.61151386418687,-90.18357384995767,10
38.61194435539584,-90.2131774161807,8
38.63948256764463,-90.18951451710547,4
38.633839194130104,-90.2171073525952,10
38.62761060489027,-90.18934951372879,8
38.61891738156888,-90.19439533305815,7
38.60827418804668,-90.2065714753658,7
38.614577761687556,-90.18975960983522,8
38.60817078004244,-90.1888216920779,9
38.64368460240176,-90.19325363360173,9
38.639725204082026,-90.2149512465866,9
38.64193427538349,-90.20952626269148,1
38.64697817902165,-90.18345132542315,5
38.638327864847675,-90.19915693369015,2
38.635268652586504,-90.1811406966066,7
38.62979559102577,-90.19086467274262,9
38.615035418477575,-90.1909175444016,7
38.60769017583132,-90.21590748636388,9
38.61326137592056,-90.18733594208125,4
38.61310276858436,-90.20577930227591,9
38.616646887501254,-90.2133594657999,10
38.60724094069713,-90.18729828738607,6
38.63518228362237,-90.18775978835383,3
38.633465859896894,-90.19199077518601,10
38.60929022838113,-90.18301150049938,8
38.61399478166888,-90.20251276345924,5
38.61757805418962,-90.20351831447074,10
38.60858184699582,-90.20461077319167,10
38.61736170758141,-90.21020154118064,7
38.61922270548715,-90.19976584813448,2
38.63157737707934,-90.18244399258623,5
38.607238232438284,-90.21863163530644,1
38.6387084064221,-90.18574960600009,10
38.62859318315952,-90.19502248348121,4
38.62280955241903,-90.20764717710274,8
38.62898228951918,-90.19381536620642,7
38.62290873955116,-90.18397873667108,7
38.644241472753066,-90.20212059975437,2
38.6085031692577,-90.19721007813123,1
38.62199058618391,-90.19157924148362,4
38.61937868370057,-90.21389674501884,2
38.61603499092318,-90.21861795261174,8
38.61550378857245,-90.21862108410579,3
38.62847414035074,-90.21237681224986,1
38.63362400446358,-90.1818620181856,3
38.615990302006054,-90.21318023176518,9
38.64472105269437,-90.20707109395204,7
38.64566890680418,-90.19218061212841,8
38.60785959887028,-90.1965203137277,9
38.61537128198477,-90.20540664449912,3
38.630036010175495,-90.20556182803922,3
38.64080759582419,-90.1799462333528,2
38.640338304927255,-90.1912485077872,2
38.611585374065534,-90.2146161698387,6
38.638020039766126,-90.1798265628103,7
38.631655009076106,-90.21619082625202,10
